Code,Country,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
376,Israel,13565.6,16161.7,15891.7,19014.1,17599.8,4756.4,6713.2,15786.0,13731.0,29380.1,37511.8
356,India,58723.1,48311.3,33845.4,25080.7,28248.0,21220.1,29939.4,36529.7,111882.8,131267.8,168029.6
380,Italy,13012.1,30668.7,22649.6,28105.5,33009.6,15636.7,40159.6,55567.5,85453.4,62958.7,72907.3
398,Kazakhstan,1849388.2,945023.7,1057579.0,1352167.8,1392964.9,908419.8,1178376.7,1407547.5,1417053.6,1526783.6,1649135.9
410,Republic of Korea,176392.8,201755.8,143339.0,108665.1,102891.4,51337.9,57701.5,42765.1,54522.2,48755.4,75277.3
112,Belarus,20077.0,18221.5,27404.0,41347.7,48879.4,42560.7,59645.3,128767.7,128850.9,175942.2,207124.6
428,Latvia,43243.5,57715.2,82312.8,46311.6,52568.7,37679.6,55228.9,106195.5,110250.9,119287.0,133805.8
458,Malaysia,9622.3,10532.8,4829.4,8139.1,7827.6,12014.8,17624.3,12000.4,9185.8,7083.4,9482.1
784,UAE,43965.2,60016.8,45996.0,67500.1,152578.2,102696.0,55884.7,122932.7,298350.5,346654.8,858877.7
643,Russia,1821065.2,1794904.8,2019162.4,2117289.8,2531870.5,1485755.1,2088237.3,3151098.4,3495675.6,3869612.8,4552111.3
682,Saudi Arabia,5509.5,596.8,1436.4,2160.3,2246.1,1647.6,4908.5,3393.8,6795.5,15253.3,17766.5
826,Great Britain,47502.5,49059.6,56143.5,174457.4,105715.0,34229.4,79598.3,114268.7,181986.5,170379.6,129190.0
840,USA,30407.7,53522.7,32098.0,36761.0,36648.8,28496.3,60794.4,124480.9,253118.1,430797.9,543495.2
762,Tajikistan,160327.0,164846.6,186065.2,237491.8,327557.3,405124.1,501902.4,522117.8,608300.4,550579.6,689357.2
764,Thailand,1209.7,13643.6,1546.6,3135.0,2760.1,526.9,6959.5,13990.8,4329.9,5461.6,9617.5
795,Turkmenistan,105970.0,79501.1,69902.3,59537.8,144331.6,126068.6,191886.2,196986.5,171635.0,128631.0,147284.7
792,Turkey,790093.2,686213.2,877812.3,944755.2,1217633.2,1018992.8,1692380.2,1643453.4,1263331.9,1184782.2,1164632.3
250,France,151074.4,120214.8,148924.6,196254.1,214744.1,89715.6,21284.8,72617.3,400443.3,803751.8,893458.5
392,Japan,10437.5,15797.8,14492.0,18844.7,33864.0,10111.4,13749.5,14540.6,17328.8,16675.3,18679.5
0,Other countries,3067714.7,4077993.4,3954545.4,3939828.3,6246359.9,6153151.4,4874921.4,5811172.3,10352796.9,11679752.8,15386475.5
048,Bahrain,9.8,9.9,7.6,133.2,145.6,91.0,170.9,121.8,435.7,1270.9,1372.5
348,Hungary,641.7,471.9,471.7,1119.0,645.9,517.4,1284.0,5129.1,6280.4,6456.8,4989.1
268,Georgia,78256.8,62625.3,62615.4,10100.5,18628.2,20771.8,29579.4,50950.4,66172.0,76423.8,82220.2
818,Egypt,971.0,566.6,1449.7,3779.7,13875.8,19234.3,34597.2,23172.2,25936.2,32130.5,16618.3
364,Iran,318100.1,350408.3,267201.8,172877.9,219907.6,141751.3,177090.0,139820.2,180779.0,163933.9,157958.6
634,Qatar,27.9,48.9,448.9,535.4,96.8,9943.6,29032.3,505.5,1298.7,2572.3,6165.0
414,Kuwait,88.3,89.4,247.2,435.8,183.5,1218.6,866.4,2834.1,11243.7,6845.9,4038.5
462,Maldives,6.0,12.2,28.4,14.1,8.6,5.2,16.3,6.3,3.0,56.3,104.3
586,Pakistan,8582.3,10104.7,10166.2,32597.1,97937.0,98552.0,130072.2,185156.5,269268.0,299650.0,325360.5
804,Ukraine,65749.7,51188.9,106046.3,100123.9,119428.1,123853.8,232545.4,79022.9,74821.5,64786.0,82500.6
756,Switzerland,16137.5,19600.4,10729.8,15574.3,34933.1,18752.2,49564.7,39452.6,63248.4,61629.5,67430.9
203,Czech Republic,18634.2,8842.2,7013.3,5772.8,16352.2,33070.0,25116.2,31951.4,53335.5,56442.6,30692.1
702,Singapore,86836.5,70322.0,67815.4,71554.9,34219.2,57964.0,103953.9,68845.3,98234.6,69575.1,57166.9
360,Indonesia,5153.9,38202.8,28575.4,41588.2,23017.8,20898.8,8860.6,16147.1,8914.6,12203.1,8601.4
100,Bulgaria,3457.8,2806.1,4319.9,3598.9,6276.1,4175.8,31194.8,65807.5,46020.6,27639.1,52653.2
